10:38:56 [DEBUG] (1) sled::pagecache::iterator: ordering before clearing tears: {0: 0}, max_header_stable_lsn: 0
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 59768832
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 60293120
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 60817408
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 61341696
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 61865984
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 62390272
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 62914560
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 63438848
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 63963136
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 64487424
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 65011712
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 65536000
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 66060288
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 66584576
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 67108864
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 67633152
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 68157440
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 68681728
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 69206016
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 69730304
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 70254592
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 70778880
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 71303168
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 71827456
10:38:56 [DEBUG] (1) sled::pagecache::segment: freeing segment 72351744
